Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,Casp,casp_,complete_model_name,group_name,casp_newname,new_name,lddt,Categories,lddt_rank
TS392,2,17.989,31,24.05,25,0.748,14,0.73,19,-1.0,1,0.754,13,9.51,64,27.18,123,0.229,67,0.0,1,0.0008847,0,CR1107,R1107,R1107TS392_2,Others,R1107_TS392_2,R1107_TS392_2,0.5046031728051743,Human,23
TS392,3,18.121,32,24.527,27,0.739,16,0.766,17,-1.0,1,0.729,31,4.98,50,26.36,108,0.223,70,0.0,1,0.001132,0,CR1107,R1107,R1107TS392_3,Others,R1107_TS392_3,R1107_TS392_3,0.4907398492322853,Human,26
TS238,1,18.13,33,29.574,35,0.613,39,0.378,40,-1.0,1,0.699,46,155.71,87,28.024,130,0.267,39,0.0,1,0.001152,0,CR1107,R1107,R1107TS238_1,Others,R1107_TS238_1,R1107_TS238_1,0.4071676965162576,Human,39
TS076,5,18.174,34,27.777,31,0.654,35,0.379,39,-1.0,1,0.745,16,8.59,59,22.475,26,0.228,69,0.0,1,0.001248,0,CR1107,R1107,R1107TS076_5,Others,R1107_TS076_5,R1107_TS076_5,0.406659379371669,Human,42
TS385,4,18.242,35,39.021,46,0.467,76,0.083,66,-1.0,1,0.569,70,4.07,42,24.989,87,0.191,80,0.0,1,0.001413,0,CR1107,R1107,R1107TS385_4,Others,R1107_TS385_4,R1107_TS385_4,0.3280911062906724,Human,64
TS076,3,18.873,36,30.001,37,0.629,38,0.352,46,-1.0,1,0.733,26,6.33,54,24.447,74,0.299,25,0.0,1,0.004202,0,CR1107,R1107,R1107TS076_3,Others,R1107_TS076_3,R1107_TS076_3,0.3891854465544876,Human,48
TS385,5,19.044,37,39.307,47,0.485,72,0.0,67,-1.0,1,0.583,67,9.95,65,24.802,83,0.144,86,0.0,1,0.005536,0,CR1107,R1107,R1107TS385_5,Others,R1107_TS385_5,R1107_TS385_5,0.2912090868415239,Human,83
TS235,5,19.156,38,32.291,40,0.593,43,0.286,52,-1.0,1,0.691,49,3.17,38,24.75,81,0.192,79,0.0,1,0.006599,0,CR1107,R1107,R1107TS235_5,Others,R1107_TS235_5,R1107_TS235_5,0.3582956225256707,Human,51
TS439,1,19.332,39,27.726,29,0.697,27,0.544,32,-1.0,1,0.743,20,10.4,67,24.648,78,0.285,31,0.0,1,0.008641,0,CR1107,R1107,R1107TS439_1,Others,R1107_TS439_1,R1107_TS439_1,0.4889826860667297,Human,27
TS439,4,19.332,39,27.726,29,0.697,27,0.544,32,-1.0,1,0.743,20,10.4,67,24.648,78,0.285,31,0.0,1,0.008641,0,CR1107,R1107,R1107TS439_4,Others,R1107_TS439_4,R1107_TS439_4,0.4889826860667297,Human,27
TS392,5,19.575,41,27.291,28,0.717,23,0.73,19,-1.0,1,0.713,42,9.95,65,25.303,94,0.239,61,0.0,1,0.01237,0,CR1107,R1107,R1107TS392_5,Others,R1107_TS392_5,R1107_TS392_5,0.4830910213351608,Human,29
TS285,3,19.626,42,43.754,62,0.449,81,0.229,56,-1.0,1,0.532,76,0.45,8,28.198,140,0.262,44,0.0,1,0.01331,0,CR1107,R1107,R1107TS285_3,Others,R1107_TS285_3,R1107_TS285_3,0.3430135419085539,Human,57
TS076,2,19.903,43,30.373,38,0.655,34,0.389,38,-1.0,1,0.738,24,6.78,56,23.694,53,0.255,48,0.0,1,0.01955,0,CR1107,R1107,R1107TS076_2,Others,R1107_TS076_2,R1107_TS076_2,0.4075499963185945,Human,38
TS439,3,19.974,44,33.131,41,0.603,42,0.355,43,-1.0,1,0.673,57,21.26,79,26.486,109,0.264,41,0.0,1,0.02151,0,CR1107,R1107,R1107TS439_3,Others,R1107_TS439_3,R1107_TS439_3,0.408182914880241,Human,37
TS076,1,20.184,45,34.787,42,0.58,50,0.369,41,-1.0,1,0.651,63,5.88,52,24.164,65,0.232,64,0.0,1,0.02824,0,CR1107,R1107,R1107TS076_1,Others,R1107_TS076_1,R1107_TS076_1,0.3700449697841563,Human,50
TS128,4,20.382,46,28.399,32,0.718,22,0.73,19,-1.0,1,0.714,40,161.12,88,25.068,89,0.3,23,0.0,1,0.03614,0,CR1107,R1107,R1107TS128_4,Others,R1107_TS128_4,R1107_TS128_4,0.5075638723854942,Human,22
TS035,1,20.539,47,45.788,70,0.449,81,0.216,60,-1.0,1,0.551,74,0.46,13,28.601,148,0.233,63,0.0,1,0.04364,0,CR1107,R1107,R1107TS035_1,Others,R1107_TS035_1,R1107_TS035_1,0.3427700027752133,Human,58
TS285,1,20.905,48,46.605,74,0.449,81,0.295,51,-1.0,1,0.506,81,1.36,21,31.266,168,0.245,54,0.0,1,0.06596,0,CR1107,R1107,R1107TS285_1,Others,R1107_TS285_1,R1107_TS285_1,0.3549568709185956,Human,52
TS285,2,21.094,49,44.088,66,0.478,75,0.343,47,-1.0,1,0.527,78,1.36,21,31.165,167,0.252,51,0.0,1,0.08056,0,CR1107,R1107,R1107TS285_2,Others,R1107_TS285_2,R1107_TS285_2,0.3543409434592751,Human,53
TS285,5,21.117,50,46.727,75,0.452,80,0.354,44,-1.0,1,0.493,82,0.45,8,30.147,164,0.236,62,0.0,1,0.08242,0,CR1107,R1107,R1107TS285_5,Others,R1107_TS285_5,R1107_TS285_5,0.3395983303410114,Human,59
TS385,2,21.335,51,41.129,49,0.519,70,0.267,54,-1.0,1,0.583,67,3.17,38,26.82,115,0.206,77,0.0,1,0.1025,0,CR1107,R1107,R1107TS385_2,Others,R1107_TS385_2,R1107_TS385_2,0.3230291737226939,Human,66
TS035,3,21.399,52,44.687,68,0.479,74,0.27,53,-1.0,1,0.552,73,1.38,24,28.173,139,0.211,74,0.0,1,0.109,0,CR1107,R1107,R1107TS035_3,Others,R1107_TS035_3,R1107_TS035_3,0.3475855643594637,Human,54
TS285,4,21.47,53,46.321,71,0.464,78,0.343,47,-1.0,1,0.518,80,2.26,32,29.451,158,0.253,49,0.0,1,0.1165,0,CR1107,R1107,R1107TS285_4,Others,R1107_TS285_4,R1107_TS285_4,0.3450057486562869,Human,55
TS035,5,21.737,54,43.764,63,0.497,71,0.333,49,-1.0,1,0.555,72,1.38,24,27.415,124,0.241,57,0.0,1,0.1481,0,CR1107,R1107,R1107TS035_5,Others,R1107_TS035_5,R1107_TS035_5,0.3391070042987489,Human,60
TS035,2,22.002,55,48.215,77,0.456,79,0.257,55,-1.0,1,0.545,75,0.46,13,29.342,155,0.193,78,0.0,1,0.1848,0,CR1107,R1107,R1107TS035_2,Others,R1107_TS035_2,R1107_TS035_2,0.3361038269626139,Human,62
TS035,4,22.742,56,48.674,80,0.467,76,0.229,56,-1.0,1,0.566,71,1.84,31,28.762,149,0.151,85,0.0,1,0.3135,0,CR1107,R1107,R1107TS035_4,Others,R1107_TS035_4,R1107_TS035_4,0.3204026324881204,Human,68
TS076,4,22.831,57,35.623,43,0.641,37,0.369,41,-1.0,1,0.733,26,6.78,56,23.44,47,0.229,67,0.0,1,0.3313,0,CR1107,R1107,R1107TS076_4,Others,R1107_TS076_4,R1107_TS076_4,0.3835953738892066,Human,49
TS248,2,22.96,58,43.529,57,0.527,69,0.192,62,-1.0,1,0.655,61,8.59,59,22.171,18,0.323,21,0.0,1,0.3576,0,CR1107,R1107,R1107TS248_2,Others,R1107_TS248_2,R1107_TS248_2,0.4032979729614925,Human,43
TS248,5,22.985,59,41.525,50,0.554,57,0.192,62,-1.0,1,0.686,50,16.73,76,21.514,13,0.278,35,0.0,1,0.3627,0,CR1107,R1107,R1107TS248_5,Others,R1107_TS248_5,R1107_TS248_5,0.3982742703737476,Human,45
TS385,1,23.017,60,43.586,59,0.528,67,0.354,44,-1.0,1,0.577,69,1.81,26,25.521,98,0.264,41,0.0,1,0.3695,0,CR1107,R1107,R1107TS385_1,Others,R1107_TS385_1,R1107_TS385_1,0.3310064962647893,Human,63
TS248,4,23.443,61,42.104,51,0.557,56,0.192,62,-1.0,1,0.692,47,10.4,67,21.522,14,0.3,23,0.0,1,0.4616,0,CR1107,R1107,R1107TS248_4,Others,R1107_TS248_4,R1107_TS248_4,0.3995344437962653,Human,44
TS434,2,23.541,62,40.766,48,0.577,52,0.0,67,-1.0,1,0.727,33,1.81,26,23.135,45,0.246,53,0.0,1,0.4831,0,CR1107,R1107,R1107TS434_2,Others,R1107_TS434_2,R1107_TS434_2,0.3054518783663622,Human,81
TS248,3,23.563,63,43.584,58,0.541,61,0.197,61,-1.0,1,0.667,59,11.31,71,20.895,7,0.286,30,0.0,1,0.4881,0,CR1107,R1107,R1107TS248_3,Others,R1107_TS248_3,R1107_TS248_3,0.3953702078011814,Human,46
TS248,1,23.602,64,43.924,64,0.537,65,0.192,62,-1.0,1,0.667,59,11.76,72,20.484,6,0.374,14,0.0,1,0.4967,0,CR1107,R1107,R1107TS248_1,Others,R1107_TS248_1,R1107_TS248_1,0.3950870227624134,Human,47
TS385,3,23.617,65,42.819,54,0.552,58,0.316,50,-1.0,1,0.611,66,4.07,42,22.269,21,0.214,72,0.0,1,0.5001,0,CR1107,R1107,R1107TS385_3,Others,R1107_TS385_3,R1107_TS385_3,0.3435218590531425,Human,56
TS147,3,24.443,66,42.185,52,0.579,51,0.0,67,-1.0,1,0.727,33,2.26,32,22.08,17,0.248,52,0.0,1,0.677,0,CR1107,R1107,R1107TS147_3,Others,R1107_TS147_3,R1107_TS147_3,0.3111481454211811,Human,76
TS227,5,24.956,67,46.382,73,0.538,64,0.0,67,-1.0,1,0.686,50,3.17,38,25.757,101,0.245,54,0.0,1,0.7715,0,CR1107,R1107,R1107TS227_5,Others,R1107_TS227_5,R1107_TS227_5,0.305709576751641,Human,80
TS434,1,24.981,68,43.711,60,0.571,53,0.0,67,-1.0,1,0.721,35,2.26,32,24.266,69,0.267,39,0.0,1,0.7757,0,CR1107,R1107,R1107TS434_1,Others,R1107_TS434_1,R1107_TS434_1,0.3097902731602884,Human,78
TS235,1,25.031,69,37.356,45,0.67,31,0.522,34,-1.0,1,0.714,40,5.43,51,24.535,75,0.214,72,0.0,1,0.784,0,CR1107,R1107,R1107TS235_1,Others,R1107_TS235_1,R1107_TS235_1,0.4256143699416072,Human,33
TS227,2,25.567,70,43.22,55,0.592,44,0.0,67,-1.0,1,0.739,23,4.52,47,23.516,51,0.207,76,0.0,1,0.8606,0,CR1107,R1107,R1107TS227_2,Others,R1107_TS227_2,R1107_TS227_2,0.309784609459513,Human,79
TS434,3,25.595,71,43.376,56,0.59,46,0.0,67,-1.0,1,0.733,26,1.81,26,21.605,15,0.281,33,0.0,1,0.8641,0,CR1107,R1107,R1107TS434_3,Others,R1107_TS434_3,R1107_TS434_3,0.3116154007351484,Human,75
TS147,4,25.652,72,48.6,79,0.528,67,0.0,67,-1.0,1,0.674,55,2.26,32,22.195,19,0.256,47,0.0,1,0.871,0,CR1107,R1107,R1107TS147_4,Others,R1107_TS147_4,R1107_TS147_4,0.3102929266041016,Human,77
TS227,4,25.699,73,43.743,61,0.588,48,0.0,67,-1.0,1,0.744,18,0.0,1,22.636,35,0.264,41,0.0,1,0.8763,0,CR1107,R1107,R1107TS227_4,Others,R1107_TS227_4,R1107_TS227_4,0.3172451193058568,Human,70
TS147,5,26.067,74,44.065,65,0.592,44,0.0,67,-1.0,1,0.745,16,0.45,8,21.296,10,0.243,56,0.0,1,0.9132,0,CR1107,R1107,R1107TS147_5,Others,R1107_TS147_5,R1107_TS147_5,0.3207537819361927,Human,67
TS434,5,26.241,75,44.533,67,0.589,47,0.0,67,-1.0,1,0.744,18,2.26,32,22.844,38,0.262,44,0.0,1,0.9276,0,CR1107,R1107,R1107TS434_5,Others,R1107_TS434_5,R1107_TS434_5,0.3134192894321007,Human,73
TS227,3,26.316,76,48.579,78,0.542,59,0.0,67,-1.0,1,0.68,53,4.07,42,21.261,9,0.272,37,0.0,1,0.9331,0,CR1107,R1107,R1107TS227_3,Others,R1107_TS227_3,R1107_TS227_3,0.3054462146655868,Human,82
TS227,1,26.554,77,49.018,81,0.542,59,0.0,67,-1.0,1,0.692,47,1.36,21,22.491,28,0.217,71,0.0,1,0.9486,0,CR1107,R1107,R1107TS227_1,Others,R1107_TS227_1,R1107_TS227_1,0.3152033551763393,Human,71
TS235,2,26.725,78,45.544,69,0.587,49,0.0,67,-1.0,1,0.705,44,16.28,74,25.215,92,0.156,82,0.0,1,0.9579,0,CR1107,R1107,R1107TS235_2,Others,R1107_TS235_2,R1107_TS235_2,0.3231509432893641,Human,65
TS147,2,26.882,79,48.051,76,0.559,55,0.0,67,-1.0,1,0.703,45,5.88,52,24.072,63,0.24,59,0.0,1,0.9652,0,CR1107,R1107,R1107TS147_2,Others,R1107_TS147_2,R1107_TS147_2,0.3191282998136642,Human,69
TS147,1,27.839,80,51.647,82,0.539,62,0.0,67,-1.0,1,0.685,52,1.81,26,21.82,16,0.253,49,0.0,1,0.9905,0,CR1107,R1107,R1107TS147_1,Others,R1107_TS147_1,R1107_TS147_1,0.3142957471270878,Human,72
TS235,4,28.177,81,42.208,53,0.668,32,0.522,34,-1.0,1,0.71,43,10.4,67,24.711,80,0.232,64,0.0,1,0.9943,0,CR1107,R1107,R1107TS235_4,Others,R1107_TS235_4,R1107_TS235_4,0.4209673034554238,Human,36
TS434,4,29.258,82,54.28,83,0.539,62,0.0,67,-1.0,1,0.674,55,4.07,42,21.368,11,0.261,46,0.0,1,0.9991,0,CR1107,R1107,R1107TS434_4,Others,R1107_TS434_4,R1107_TS434_4,0.3118759309708149,Human,74
TS235,3,31.141,83,46.343,72,0.672,30,0.522,34,-1.0,1,0.716,39,7.24,58,23.987,60,0.271,38,0.0,1,1.0,0,CR1107,R1107,R1107TS235_3,Others,R1107_TS235_3,R1107_TS235_3,0.4235442873082129,Human,35
TS091,1,58.547,84,398.669,85,0.147,85,-1.0,84,-1.0,1,0.173,85,0.93,19,36.384,178,0.154,83,0.0,1,1.0,0,CR1107,R1107,R1107TS091_1,Others,R1107_TS091_1,R1107_TS091_1,0.2235193670248013,Human,86
TS091,2,62.739,85,431.641,86,0.145,86,-1.0,84,-1.0,1,0.168,86,3.25,41,36.079,177,0.141,87,0.0,1,1.0,0,CR1107,R1107,R1107TS091_2,Others,R1107_TS091_2,R1107_TS091_2,0.2113551536845205,Human,88
TS091,3,62.875,86,322.424,84,0.195,84,-1.0,84,-1.0,1,0.23,84,0.47,15,34.571,173,0.134,88,0.0,1,1.0,0,CR1107,R1107,R1107TS091_3,Others,R1107_TS091_3,R1107_TS091_3,0.2188992031173009,Human,87
TS091,4,67.192,87,550.221,88,0.122,88,-1.0,84,-1.0,1,0.146,88,0.93,19,36.654,179,0.152,84,0.0,1,1.0,0,CR1107,R1107,R1107TS091_4,Others,R1107_TS091_4,R1107_TS091_4,0.2245430809399478,Human,85
TS091,5,67.885,88,530.799,87,0.128,87,-1.0,84,-1.0,1,0.156,87,0.0,1,34.854,176,0.163,81,0.0,1,1.0,0,CR1107,R1107,R1107TS091_5,Others,R1107_TS091_5,R1107_TS091_5,0.2260694482989074,Human,84
TS232,5,4.94,6,6.097,5,0.81,13,0.917,6,-1.0,1,0.775,22,5.88,48,13.509,1,0.517,6,0.0,1,0.0,0,CR1108,R1108,R1108TS232_5,Others,R1108_TS232_5,R1108_TS232_5,0.7456603708015499,Human,4
TS232,1,5.323,7,6.305,6,0.844,1,0.935,4,-1.0,1,0.816,4,8.14,58,13.716,4,0.465,11,0.0,1,0.0,0,CR1108,R1108,R1108TS232_1,Others,R1108_TS232_1,R1108_TS232_1,0.7368956809322745,Human,6
TS416,1,5.435,8,6.569,8,0.827,4,0.952,2,-1.0,1,0.779,21,1.81,22,24.934,124,0.509,9,0.0,1,0.0,0,CR1108,R1108,R1108TS416_1,Others,R1108_TS416_1,R1108_TS416_1,0.6605489044499662,Human,12
TS128,3,5.48,9,7.104,9,0.771,24,0.91,9,-1.0,1,0.723,45,28.48,73,20.36,47,0.544,1,0.0,1,0.0,0,CR1108,R1108,R1108TS128_3,Others,R1108_TS128_3,R1108_TS128_3,0.7417145951706602,Human,5
TS287,2,5.879,10,7.25,10,0.811,11,0.836,12,-1.0,1,0.804,8,0.9,12,21.18,67,0.382,15,0.0,1,0.0,1,CR1108,R1108,R1108TS287_2,Others,R1108_TS287_2,R1108_TS287_2,0.7064324938347174,Human,9
TS287,4,5.945,11,7.281,11,0.816,10,0.836,12,-1.0,1,0.811,6,4.97,42,19.506,27,0.381,16,0.0,1,0.0,1,CR1108,R1108,R1108TS287_4,Others,R1108_TS287_4,R1108_TS287_4,0.7079451216282232,Human,8
TS287,1,6.023,12,7.283,12,0.827,4,0.836,12,-1.0,1,0.826,2,2.71,26,19.748,33,0.383,14,0.0,1,0.0,1,CR1108,R1108,R1108TS287_1,Others,R1108_TS287_1,R1108_TS287_1,0.7134718045002149,Human,7
TS232,3,6.225,13,7.565,13,0.823,7,0.917,6,-1.0,1,0.793,14,11.3,68,13.694,3,0.522,4,0.0,1,0.0,0,CR1108,R1108,R1108TS232_3,Others,R1108_TS232_3,R1108_TS232_3,0.7539008879081163,Human,2
TS416,5,6.592,14,8.698,14,0.758,33,0.851,11,-1.0,1,0.723,45,4.07,35,24.789,122,0.34,21,0.0,1,0.0,0,CR1108,R1108,R1108TS416_5,Others,R1108_TS416_5,R1108_TS416_5,0.6445905950084853,Human,15
TS081,4,7.918,15,11.299,15,0.701,43,0.8,17,-1.0,1,0.674,53,0.0,1,29.864,149,0.345,20,0.0,1,0.0,1,CR1108,R1108,R1108TS081_4,Others,R1108_TS081_4,R1108_TS081_4,0.5200217182745449,Human,39
TS238,1,9.414,16,12.146,16,0.775,22,0.756,33,-1.0,1,0.791,15,139.33,77,21.723,78,0.376,17,0.0,1,1.499e-15,1,CR1108,R1108,R1108TS238_1,Others,R1108_TS238_1,R1108_TS238_1,0.6600207177036309,Human,13
TS081,3,12.098,17,15.83,17,0.764,30,0.825,15,-1.0,1,0.752,34,0.0,1,19.052,19,0.354,19,0.0,1,7.802e-11,1,CR1108,R1108,R1108TS081_3,Others,R1108_TS081_3,R1108_TS081_3,0.5731549766631548,Human,20
TS081,2,12.442,18,16.146,18,0.771,24,0.791,24,-1.0,1,0.772,23,0.0,1,20.278,44,0.339,22,0.0,1,2.679e-10,1,CR1108,R1108,R1108TS081_2,Others,R1108_TS081_2,R1108_TS081_2,0.5630742247046845,Human,21
TS081,1,13.198,19,17.127,19,0.771,24,0.825,15,-1.0,1,0.761,29,0.0,1,22.706,91,0.329,23,0.0,1,3.561e-09,1,CR1108,R1108,R1108TS081_1,Others,R1108_TS081_1,R1108_TS081_1,0.5617116825482775,Human,22
TS128,5,14.163,20,22.158,28,0.639,56,0.686,41,-1.0,1,0.623,63,101.58,75,26.197,135,0.245,45,0.0,1,7.511e-08,1,CR1108,R1108,R1108TS128_5,Others,R1108_TS128_5,R1108_TS128_5,0.5134253073812705,Human,40
TS439,1,14.638,21,20.475,23,0.715,40,0.63,48,-1.0,1,0.741,38,3.16,29,21.345,69,0.294,27,0.0,1,3.048e-07,1,CR1108,R1108,R1108TS439_1,Others,R1108_TS439_1,R1108_TS439_1,0.5066346680164564,Human,44
TS287,5,15.341,22,18.407,20,0.833,3,0.8,17,-1.0,1,0.852,1,3.16,29,20.413,51,0.386,12,0.0,1,2.134e-06,1,CR1108,R1108,R1108TS287_5,Others,R1108_TS287_5,R1108_TS287_5,0.5797307875670236,Human,17
TS147,2,15.622,23,19.814,21,0.788,17,0.757,27,-1.0,1,0.798,11,4.97,42,18.417,17,0.247,44,0.0,1,4.468e-06,1,CR1108,R1108,R1108TS147_2,Others,R1108_TS147_2,R1108_TS147_2,0.5477596040093465,Human,26
TS439,3,15.653,24,21.583,27,0.725,38,0.64,47,-1.0,1,0.751,35,6.78,53,23.532,104,0.251,43,0.0,1,4.842e-06,1,CR1108,R1108,R1108TS439_3,Others,R1108_TS439_3,R1108_TS439_3,0.508619624138479,Human,43
TS128,1,15.94,25,21.083,25,0.756,34,0.794,22,-1.0,1,0.75,36,44.24,74,20.062,37,0.475,10,0.0,1,1.001e-05,0,CR1108,R1108,R1108TS128_1,Others,R1108_TS128_1,R1108_TS128_1,0.6258289748802511,Human,16
TS029,2,16.142,26,28.905,41,0.558,64,0.655,45,-1.0,1,0.526,69,0.0,1,31.467,152,0.268,35,0.0,1,1.642e-05,0,CR1108,R1108,R1108TS029_2,Others,R1108_TS029_2,R1108_TS029_2,0.4326713118219782,Human,58
TS287,3,16.227,27,19.999,22,0.811,11,0.8,17,-1.0,1,0.823,3,1.81,22,20.418,52,0.362,18,0.0,1,2.017e-05,1,CR1108,R1108,R1108TS287_3,Others,R1108_TS287_3,R1108_TS287_3,0.5771322460462734,Human,18
